Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty,T_Casualty
0,0 ,0,0,0,96,300,Tamerlane WON,0.950762,0.627421
0,0 ,0,0,0,101,300,Tamerlane WON,0.952512,0.555623
0,0 ,0,0,0,95,300,Tamerlane WON,0.920679,0.60062
0,0 ,0,0,0,103,300,Tamerlane WON,0.947548,0.658101
0,0 ,0,0,0,97,300,Tamerlane WON,0.980071,0.578189
0,0 ,0,0,0,102,300,Tamerlane WON,0.967774,0.657697
0,0 ,0,0,0,103,300,Tamerlane WON,0.930345,0.577226
0,0 ,0,0,0,104,300,Tamerlane WON,0.955381,0.622189
0,0 ,0,0,0,97,300,Tamerlane WON,0.935643,0.605387
0,0 ,0,0,0,96,300,Tamerlane WON,0.942512,0.595919
0,0 ,0,0,1,108,300,Tamerlane WON,0.917251,0.743811
0,0 ,0,0,1,101,300,Tamerlane WON,0.91799,0.64169
0,0 ,0,0,1,105,300,Tamerlane WON,0.951179,0.755091
0,0 ,0,0,1,106,300,Tamerlane WON,0.956267,0.763212
0,0 ,0,0,1,103,300,Tamerlane WON,0.94081,0.716397
0,0 ,0,0,1,104,300,Tamerlane WON,0.916031,0.736727
0,0 ,0,0,1,103,300,Tamerlane WON,0.943303,0.714054
0,0 ,0,0,1,105,300,Tamerlane WON,0.945867,0.736593
0,0 ,0,0,1,104,300,Tamerlane WON,0.949262,0.771852
0,0 ,0,0,1,104,300,Tamerlane WON,0.932821,0.700525
0,0 ,0,0,2,107,300,Tamerlane WON,0.952802,0.762896
0,0 ,0,0,2,113,300,Tamerlane WON,0.921333,0.814842
0,0 ,0,0,2,107,300,Tamerlane WON,0.933018,0.803226
0,0 ,0,0,2,106,300,Tamerlane WON,0.947279,0.788855
0,0 ,0,0,2,107,300,Tamerlane WON,0.911045,0.75
0,0 ,0,0,2,107,300,Tamerlane WON,0.931261,0.784801
0,0 ,0,0,2,105,300,Tamerlane WON,0.953162,0.811407
0,0 ,0,0,2,106,300,Tamerlane WON,0.918189,0.775286
0,0 ,0,0,2,109,300,Tamerlane WON,0.92336,0.797912
0,0 ,0,0,2,111,300,Tamerlane WON,0.916577,0.789037
0,0 ,0,0,3,117,300,Tamerlane WON,0.939663,0.82969
0,0 ,0,0,3,117,300,Tamerlane WON,0.929052,0.851461
0,0 ,0,0,3,123,300,Tamerlane WON,0.923614,0.885077
0,0 ,0,0,3,116,300,Tamerlane WON,0.903181,0.911987
0,0 ,0,0,3,121,300,Tamerlane WON,0.918715,0.927024
0,0 ,0,0,3,119,300,Tamerlane WON,0.935944,0.888815
0,0 ,0,0,3,116,300,Tamerlane WON,0.941655,0.878505
0,0 ,0,0,3,116,300,Tamerlane WON,0.919767,0.880094
0,0 ,0,0,3,122,300,Tamerlane WON,0.96,0.936411
0,0 ,0,0,3,113,300,Ottoman WON,0.944876,0.885051
0,0 ,0,0,4,105,300,Ottoman WON,0.922101,0.975933
0,0 ,0,0,4,101,300,Ottoman WON,0.890051,0.956896
0,0 ,0,0,4,106,300,Ottoman WON,0.904312,0.946875
0,0 ,0,0,4,107,300,Ottoman WON,0.909725,0.970747
0,0 ,0,0,4,121,300,Tamerlane WON,0.908,0.925677
0,0 ,0,0,4,97,300,Ottoman WON,0.851826,0.919131
0,0 ,0,0,4,98,300,Ottoman WON,0.840101,0.949084
0,0 ,0,0,4,105,300,Ottoman WON,0.92242,0.952889
0,0 ,0,0,4,96,300,Ottoman WON,0.907355,0.932936
0,0 ,0,0,4,104,300,Ottoman WON,0.893341,0.947064
0,0 ,0,0,5,98,300,Ottoman WON,0.857947,0.971717
0,0 ,0,0,5,106,300,Ottoman WON,0.818594,0.952808
